,Model,Action_Score,Romance_Score,Thriller_Score,ModelCategory
0,bert-base-uncased,0.18825592,-0.06431729,-0.11416924,bert
1,bert-base-cased,-0.014822054,0.22913459,-0.24811955,bert
2,roberta-base,0.055248357,-0.19221295,0.11987918,roberta
3,gpt2,-0.88915974,-0.8826492,0.8945391,gpt
4,gpt2-medium,0.6357243,-0.80575037,0.72424453,gpt
5,xlnet-base-cased,-0.15417647,0.1468171,-0.02132024,xlnet
6,albert-base-v2,-0.114646584,0.14561488,-0.07606181,albert
7,distilbert-base-uncased,0.1158604,0.08697143,-0.18819211,bert
8,distilbert-base-cased,0.1930672,0.045182917,-0.23972207,bert
9,t5-small,0.08636108,0.18825912,-0.27628157,t5
10,t5-base,0.07314057,0.06357889,-0.12933907,t5
11,google/electra-small-discriminator,-0.32698292,0.37106583,-0.11791928,electra
12,google/electra-base-discriminator,0.47093016,-0.49049643,0.037513744,electra
13,microsoft/deberta-base,-0.060900953,-0.0841595,0.103097126,deberta
14,facebook/bart-base,0.14394334,0.07040074,-0.17999497,bart
15,bert-large-uncased,0.16699256,-0.06761401,-0.071755245,bert
16,bert-large-cased,-0.11724325,0.1616456,-0.08348681,bert
17,roberta-large,0.054816008,-0.028485652,-0.019228633,roberta
18,gpt2-large,0.019561412,-0.005164322,-0.011125443,gpt
19,xlnet-large-cased,-0.2754174,-0.3020761,0.33586368,xlnet
20,albert-large-v2,-0.40991312,0.34962007,-0.013283682,albert
21,t5-large,-0.03504522,0.098449424,-0.07704574,t5
22,google/electra-large-discriminator,0.011324121,-0.02931709,0.009011382,electra
23,microsoft/deberta-large,-0.02027086,0.05365637,-0.02465588,deberta
24,facebook/bart-large,-0.052061222,0.19204932,-0.13036765,bart
25,gpt2-xl,0.04907133,0.03135694,-0.07267847,gpt
26,albert-xlarge-v2,0.107461564,0.20073085,-0.31553417,albert
27,albert-xxlarge-v2,-0.14291206,0.24948351,-0.10204514,albert
28,t5-3b,0.13632704,0.1579302,-0.27092832,t5
29,microsoft/deberta-xlarge,-0.11643713,-0.07873245,0.15100512,deberta
